ori,agency_name,state_name,latitude,longitude,population,city_name,weapon_increase,firearm_increase,2019,2021,perc_21_19,perc_abs,incdec
VA0820000,Rockingham County Sheriff's Office,Virginia,38.511257,-78.876307,62436,HARRISONBURG,1,1,3,15,400,400,increase
MI6378400,Troy Police Department,Michigan,42.562386,-83.15445,83851,TROY,1,1,5,23,360,360,increase
VA0530100,Leesburg Police Department,Virginia,39.08113,-77.638857,55794,LEESBURG,1,1,2,9,350,350,increase
MT0560100,Billings Police Department,Montana,45.936987,-108.276656,110274,BILLINGS,1,1,37,158,327.027027,327.027027,increase
IA0310100,Dubuque Police Department,Iowa,42.500935,-90.66581,57790,DUBUQUE,1,1,7,29,314.2857143,314.2857143,increase
ND0180100,Grand Forks Police Department,North Dakota,47.926003,-97.450851,56253,GRAND FORKS,1,1,1,4,300,300,increase
OH0091500,West Chester Township Police Department,Ohio,39.439747,-84.565734,63211,WEST CHESTER,1,1,4,16,300,300,increase
OR0200600,Springfield Police Department,Oregon,43.928305,-122.897659,63599,SPRINGFIELD,1,1,2,8,300,300,increase
NM0070000,Dona Ana County Sheriff's Office,New Mexico,32.350912,-106.832182,85437,LAS CRUCES,1,1,17,64,276.4705882,276.4705882,increase
TX0573300,Rowlett Police Department,Texas,32.766987,-96.778424,69287,ROWLETT,1,1,8,30,275,275,increase
CO0300000,Jefferson County Sheriff's Office,Colorado,39.72974,-105.2028,193451,GOLDEN,1,1,15,55,266.6666667,266.6666667,increase
OH0500900,Youngstown Police Department,Ohio,41.099815,-80.65149,63538,YOUNGSTOWN,1,1,49,178,263.2653061,263.2653061,increase
VA0210100,Chesterfield County Police Department,Virginia,37.378434,-77.585847,362188,CHESTERFIELD,1,1,32,116,262.5,262.5,increase
AZ0110100,Casa Grande Police Department,Arizona,32.878384,-111.751495,62566,CASA GRANDE,1,1,15,51,240,240,increase
WA0174300,Shoreline Police Department,Washington,47.493554,-121.832375,58725,SHORELINE,1,1,4,13,225,225,increase
TX0610200,Denton Police Department,Texas,33.214447,-97.12535,150975,DENTON,1,1,26,83,219.2307692,219.2307692,increase
CO0030000,Arapahoe County Sheriff's Office,Colorado,39.578564,-104.84023,89396,CENTENNIAL,1,1,15,47,213.3333333,213.3333333,increase
IN0840100,Terre Haute Police Department,Indiana,39.467537,-87.39904,60372,TERRE HAUTE,1,1,11,34,209.0909091,209.0909091,increase
MI6375100,Southfield Police Department,Michigan,42.48026,-83.24084,72216,SOUTHFIELD,1,1,32,98,206.25,206.25,increase
CT0015600,West Haven Police Department,Connecticut,41.27384,-72.96431,54248,WEST HAVEN,1,1,2,6,200,200,increase
KY0630000,Laurel County Sheriff's Office,Kentucky,37.127853,-84.083916,53631,LONDON,1,1,1,3,200,200,increase
MN0690000,St. Louis County Sheriff's Office,Minnesota,46.781807,-92.103836,57182,DULUTH,0,1,2,6,200,200,increase
NB0280000,Douglas County Sheriff's Office,Nebraska,41.297091,-96.154066,91083,OMAHA,1,1,3,9,200,200,increase
NC0190000,Chatham County Sheriff's Office,North Carolina,35.704994,-79.251454,60545,PITTSBORO,1,1,5,15,200,200,increase
ND0090200,Fargo Police Department,North Dakota,46.927003,-97.252375,127313,FARGO,1,1,6,18,200,200,increase
RI0020300,Warwick Police Department,Rhode Island,41.701786,-71.45817,83968,WARWICK,0,1,2,6,200,200,increase
TX2270900,Pflugerville Police Department,Texas,30.239513,-97.69127,68978,PFLUGERVILLE,1,1,12,36,200,200,increase
VA0300000,Fauquier County Sheriff's Office,Virginia,38.744103,-77.821585,61209,WARRENTON,0,1,1,3,200,200,increase
WA0060300,Vancouver Police Department,Washington,45.771674,-122.485903,188160,VANCOUVER,1,1,42,126,200,200,increase
WA0175000,Sammamish Police Department,Washington,47.60465,-122.035515,66855,SAMMAMISH,0,1,1,3,200,200,increase
WV0410000,Raleigh County Sheriff's Office,West Virginia,37.78005,-81.16628,54289,BECKLEY,1,1,9,27,200,200,increase
CO0510100,Pueblo Police Department,Colorado,38.268818,-104.6085,113371,PUEBLO,1,1,125,369,195.2,195.2,increase
MI4143600,Grand Rapids Police Department,Michigan,42.963238,-85.66699,201280,GRAND RAPIDS,1,1,129,374,189.9224806,189.9224806,increase
WI0130000,Dane County Sheriff's Office,Wisconsin,43.074104,-89.38086,91436,MADISON,1,1,6,17,183.3333333,183.3333333,increase
TX0430400,Frisco Police Department,Texas,33.194745,-96.579846,222416,FRISCO,1,1,21,59,180.952381,180.952381,increase
RI0040200,Cranston Police Department,Rhode Island,41.802887,-71.44183,84105,CRANSTON,0,1,5,14,180,180,increase
MT0320100,Missoula Police Department,Montana,46.873913,-113.99474,77852,MISSOULA,1,1,14,38,171.4285714,171.4285714,increase
TX2460200,Georgetown Police Department,Texas,30.636448,-97.680916,90629,GEORGETOWN,1,1,9,24,166.6666667,166.6666667,increase
WA0173600,Federal Way Police Department,Washington,47.493554,-121.832375,97017,FEDERAL WAY,1,1,45,118,162.2222222,162.2222222,increase
VA1270000,Suffolk Police Department,Virginia,36.697157,-76.634781,94755,SUFFOLK,1,1,49,128,161.2244898,161.2244898,increase
TX0201000,Pearland Police Department,Texas,29.167817,-95.434647,126983,PEARLAND,1,1,15,39,160,160,increase
OR0200200,Eugene Police Department,Oregon,44.051296,-123.08966,175007,EUGENE,1,1,13,33,153.8461538,153.8461538,increase
AR0260000,Garland County Sheriff's Office,Arkansas,34.504906,-93.05932,60542,HOT SPRINGS,1,1,14,35,150,150,increase
KS0461000,Lenexa Police Department,Kansas,38.971035,-94.73084,57012,LENEXA,1,1,6,15,150,150,increase
MO0360000,Franklin County Sheriff's Office,Missouri,38.459488,-90.9924,58098,UNION,1,1,4,10,150,150,increase
OH0120000,Clark County Sheriff's Office,Ohio,39.926155,-83.81001,63796,SPRINGFIELD,1,1,2,5,150,150,increase
OH0250000,Franklin County Sheriff's Office,Ohio,39.95252,-82.99876,64577,COLUMBUS,1,1,2,5,150,150,increase
VA0020300,Albemarle County Police Department,Virginia,38.024184,-78.553506,111732,CHARLOTTESVILLE,1,1,4,10,150,150,increase
GA0605600,Sandy Springs Police Department,Georgia,33.925224,-84.359856,111533,ATLANTA,1,1,21,52,147.6190476,147.6190476,increase
MI3351900,Lansing Police Department,Michigan,42.733696,-84.55264,117865,LANSING,1,1,165,408,147.2727273,147.2727273,increase
OR0260100,Gresham Police Department,Oregon,45.50593,-122.435295,110448,GRESHAM,1,1,33,81,145.4545455,145.4545455,increase
NC0920100,Raleigh Police Department,North Carolina,35.789846,-78.650624,481823,RALEIGH,1,1,203,489,140.8866995,140.8866995,increase
MI5076500,Sterling Heights Police Department,Michigan,42.59104,-83.01116,131911,STERLING HEIGHTS,1,1,15,36,140,140,increase
OH0770000,Summit County Sheriff's Office,Ohio,41.07877,-81.518234,53121,AKRON,1,1,5,12,140,140,increase
GA1100000,Paulding County Sheriff's Office,Georgia,33.920903,-84.866979,157159,DALLAS,1,1,33,79,139.3939394,139.3939394,increase
MI8290800,Canton Township Police Department,Michigan,42.29957,-83.4868,94777,CANTON,1,1,11,26,136.3636364,136.3636364,increase
AZ0140000,Yuma County Sheriff's Office,Arizona,32.723854,-114.62336,54510,YUMA,1,1,14,33,135.7142857,135.7142857,increase
MT0070100,Great Falls Police Department,Montana,47.316443,-111.350571,58265,GREAT FALLS,1,1,14,33,135.7142857,135.7142857,increase
MI6371400,Royal Oak Police Department,Michigan,42.660452,-83.38421,59137,ROYAL OAK,1,1,3,7,133.3333333,133.3333333,increase
MI8281700,Westland Police Department,Michigan,42.32417,-83.40208,80837,WESTLAND,1,1,33,77,133.3333333,133.3333333,increase
TN0060000,Bradley County Sheriff's Office,Tennessee,35.153914,-84.859414,63446,CLEVELAND,1,1,21,49,133.3333333,133.3333333,increase
IA0570100,Cedar Rapids Police Department,Iowa,41.975834,-91.66754,134763,CEDAR RAPIDS,1,1,40,93,132.5,132.5,increase
CO0010300,Commerce City Police Department,Colorado,39.874325,-104.331872,60845,COMMERCE CITY,1,1,47,109,131.9148936,131.9148936,increase
UT0290100,Ogden Police Department,Utah,41.227345,-111.97592,87828,OGDEN,1,1,22,51,131.8181818,131.8181818,increase
OR0260200,Portland Police Department,Oregon,45.515236,-122.676056,664350,PORTLAND,1,1,327,756,131.1926606,131.1926606,increase
VA0070100,Arlington County Police Department,Virginia,38.889954,-77.08372,243149,ARLINGTON,1,1,23,53,130.4347826,130.4347826,increase
TX0610600,Lewisville Police Department,Texas,33.205005,-97.119046,113998,LEWISVILLE,1,1,34,78,129.4117647,129.4117647,increase
WA0170700,Kent Police Department,Washington,47.38059,-122.23741,131899,KENT,1,1,46,105,128.2608696,128.2608696,increase
VA0100000,Bedford County Sheriff's Office,Virginia,37.311317,-79.50447,73556,BEDFORD,1,1,11,25,127.2727273,127.2727273,increase
MS0170100,Southaven Police Department,Mississippi,34.874266,-89.99324,57455,SOUTHAVEN,1,1,15,34,126.6666667,126.6666667,increase
MN0271100,Minneapolis Police Department,Minnesota,44.987347,-93.249756,438463,MINNEAPOLIS,1,1,486,1101,126.5432099,126.5432099,increase
OH0470000,Lorain County Sheriff's Office,Ohio,41.346176,-82.13405,58932,ELYRIA,1,1,4,9,125,125,increase
OH0470400,Elyria Police Department,Ohio,41.369877,-82.11018,53809,ELYRIA,1,1,12,27,125,125,increase
TX0310300,Harlingen Police Department,Texas,26.102923,-97.478958,65186,HARLINGEN,1,1,25,56,124,124,increase
TN0820200,Kingsport Police Department,Tennessee,36.547108,-82.561806,54229,KINGSPORT,1,1,45,99,120,120,increase
GA0690000,Hall County Sheriff's Office,Georgia,34.317588,-83.818497,147037,GAINESVILLE,1,1,26,57,119.2307692,119.2307692,increase
ID0100200,Idaho Falls Police Department,Idaho,43.395171,-111.621878,64792,IDAHO FALLS,1,1,11,24,118.1818182,118.1818182,increase
ID0140200,Nampa Police Department,Idaho,43.623051,-116.708527,105619,NAMPA,1,1,22,48,118.1818182,118.1818182,increase
MI4185000,Kentwood Police Department,Michigan,42.880886,-85.59636,52028,GRAND RAPIDS,1,1,11,24,118.1818182,118.1818182,increase
CO0010100,Aurora Police Department,Colorado,39.70955,-104.81493,393897,AURORA,1,1,393,852,116.7938931,116.7938931,increase
MA0112000,Quincy Police Department,Massachusetts,42.25548,-70.99678,95737,QUINCY,1,1,6,13,116.6666667,116.6666667,increase
NC0800000,Rowan County Sheriff's Office,North Carolina,35.66859,-80.46837,77550,SALISBURY,1,1,19,41,115.7894737,115.7894737,increase
MI3967800,Portage Police Department,Michigan,42.201576,-85.5913,50141,PORTAGE,0,1,7,15,114.2857143,114.2857143,increase
TX1050700,Kyle Police Department,Texas,30.061225,-98.029267,54692,KYLE,1,1,7,15,114.2857143,114.2857143,increase
MI8234400,Dearborn Heights Police Department,Michigan,42.29735,-83.288826,54772,DEARBORN HEIGHTS,1,1,24,51,112.5,112.5,increase
IA0970100,Sioux City Police Department,Iowa,42.496357,-96.40646,82750,SIOUX CITY,1,1,30,63,110,110,increase
OK0140200,Norman Police Department,Oklahoma,35.221004,-97.44601,127304,NORMAN,1,1,23,48,108.6956522,108.6956522,increase
CO0010000,Adams County Sheriff's Office,Colorado,39.874325,-104.331872,93869,BRIGHTON,1,1,83,173,108.4337349,108.4337349,increase
VA0750300,Prince William County Police Department,Virginia,38.701119,-77.479579,472890,WOODBRIDGE,1,1,105,215,104.7619048,104.7619048,increase
CO0620200,Greeley Police Department,Colorado,40.422905,-104.72735,110660,GREELEY,1,1,48,98,104.1666667,104.1666667,increase
MI3949900,Kalamazoo Police Department,Michigan,42.28092,-85.58168,76179,KALAMAZOO,1,1,136,277,103.6764706,103.6764706,increase
CO0031100,Centennial Police Department,Colorado,39.644632,-104.331733,111199,ENGLEWOOD,1,1,13,26,100,100,increase
ME0060000,Kennebec County Sheriff's Office,Maine,44.417012,-69.765764,53847,AUGUSTA,1,0,2,0,-100,100,decrease
MI6362700,Novi Police Department,Michigan,42.46606,-83.49233,61440,NOVI,1,1,3,6,100,100,increase
NC0230000,Cleveland County Sheriff's Office,North Carolina,35.33463,-81.557114,62852,SHELBY,1,1,19,38,100,100,increase
NC0510000,Johnston County Sheriff's Office,North Carolina,35.513398,-78.36731,154294,SMITHFIELD,1,1,16,32,100,100,increase
NC0680000,Orange County Sheriff's Office,North Carolina,36.0745,-79.09902,55542,HILLSBOROUGH,1,1,12,24,100,100,increase
NC0920300,Cary Police Department,North Carolina,35.789846,-78.650624,177735,CARY,1,1,16,32,100,100,increase
NH0064600,Nashua Police Department,New Hampshire,42.911643,-71.723101,89431,NASHUA,1,1,1,2,100,100,increase
OH0250300,Dublin Police Department,Ohio,40.101982,-83.14079,50236,DUBLIN,0,0,4,0,-100,100,decrease
OR0220000,Linn County Sheriff's Office,Oregon,44.494824,-122.543755,54318,ALBANY,1,0,2,0,-100,100,decrease
TX1050100,San Marcos Police Department,Texas,30.061225,-98.029267,68961,SAN MARCOS,1,1,32,64,100,100,increase
WI0450100,Appleton Police Department,Wisconsin,44.260445,-88.41205,74204,APPLETON,1,1,8,16,100,100,increase
WA0270300,Tacoma Police Department,Washington,47.051437,-122.153228,222235,TACOMA,1,1,379,756,99.47229551,99.47229551,increase
VA1170000,Norfolk Police Department,Virginia,36.923015,-76.244641,242488,NORFOLK,1,1,288,573,98.95833333,98.95833333,increase
TX2270100,Austin Police Department,Texas,30.268007,-97.735275,1016721,AUSTIN,1,1,571,1128,97.54816112,97.54816112,increase
TX1551200,Waco Police Department,Texas,31.549493,-97.201472,143089,WACO,1,1,156,308,97.43589744,97.43589744,increase
MD0160400,Montgomery County Police Department,Maryland,39.10462,-77.18817,1054042,ROCKVILLE,1,1,84,165,96.42857143,96.42857143,increase
WASPD0000,Seattle Police Department,Washington,47.493554,-121.832375,787749,SEATTLE,1,1,280,544,94.28571429,94.28571429,increase
CO0390000,Mesa County Sheriff's Office,Colorado,39.068436,-108.57308,71975,GRAND JUNCTION,1,1,17,33,94.11764706,94.11764706,increase
VA0990000,Alexandria Police Department,Virginia,38.818343,-77.082026,160457,ALEXANDRIA,1,1,31,60,93.5483871,93.5483871,increase
RI0040800,Pawtucket Police Department,Rhode Island,41.879257,-71.38248,74342,PAWTUCKET,1,1,27,52,92.59259259,92.59259259,increase
OR0340000,Washington County Sheriff's Office,Oregon,45.553542,-123.097615,240972,HILLSBORO,1,1,26,50,92.30769231,92.30769231,increase
VA0980000,York County Sheriff's Office,Virginia,37.220914,-76.395533,69526,YORKTOWN,1,1,13,25,92.30769231,92.30769231,increase
AR0600300,North Little Rock Police Department,Arkansas,34.77923,-92.26978,66677,NORTH LITTLE ROCK,1,1,115,220,91.30434783,91.30434783,increase
LA0030000,Ascension Parish Sheriff's Office,Louisiana,30.202946,-90.910023,118623,DONALDSONVILLE,1,1,61,116,90.16393443,90.16393443,increase
MI1111100,Berrien County Sheriff's Office,Michigan,42.10951,-86.47704,51267,SAINT JOSEPH,1,1,10,19,90,90,increase
MI6338900,Farmington Hills Police Department,Michigan,42.484615,-83.3609,80044,FARMINGTON HILLS,1,1,10,19,90,90,increase
IL1010400,Rockford Police Department,Illinois,42.272087,-89.09654,144027,ROCKFORD,1,1,318,603,89.62264151,89.62264151,increase
SC0370000,Oconee County Sheriff's Office,South Carolina,34.76043,-83.073364,62990,WALHALLA,1,1,38,72,89.47368421,89.47368421,increase
WA0174100,Burien Police Department,Washington,47.602222,-122.33089,51584,SEATTLE,1,1,19,36,89.47368421,89.47368421,increase
MI7417400,St. Clair County Sheriff's Office,Michigan,42.94248,-82.48136,99574,PORT HURON,1,1,9,17,88.88888889,88.88888889,increase
CT0010300,Norwalk Police Department,Connecticut,41.096684,-73.42238,88930,NORWALK,0,0,8,1,-87.5,87.5,decrease
WA0170200,Bellevue Police Department,Washington,47.493554,-121.832375,150208,BELLEVUE,1,1,8,15,87.5,87.5,increase
TN0330100,Chattanooga Police Department,Tennessee,35.159186,-85.202296,186222,CHATTANOOGA,1,1,407,762,87.22358722,87.22358722,increase
UT0180300,Salt Lake City Police Department,Utah,40.667883,-111.92424,205929,SALT LAKE CITY,1,1,108,202,87.03703704,87.03703704,increase
AR0720100,Fayetteville Police Department,Arkansas,36.06085,-94.15727,91309,FAYETTEVILLE,1,1,46,86,86.95652174,86.95652174,increase
KY0568000,Louisville Metro Police Department,Kentucky,38.254276,-85.760895,678236,LOUISVILLE,1,1,1097,2045,86.41750228,86.41750228,increase
VA0430100,Henrico County Police Department,Virginia,37.43752,-77.300333,336138,RICHMOND,1,1,115,213,85.2173913,85.2173913,increase
WA0310300,Everett Police Department,Washington,47.977795,-122.20719,113469,EVERETT,1,1,32,59,84.375,84.375,increase
TX1290000,Kaufman County Sheriff's Office,Texas,32.598944,-96.288378,79220,KAUFMAN,1,1,25,46,84,84,increase
TX2201200,Fort Worth Police Department,Texas,32.77204,-97.291291,947862,FORT WORTH,1,1,756,1390,83.86243386,83.86243386,increase
OR0090100,Bend Police Department,Oregon,44.055473,-121.33363,104833,BEND,1,0,6,1,-83.33333333,83.33333333,decrease
MI8234300,Dearborn Police Department,Michigan,42.314945,-83.19971,92930,DEARBORN,1,1,48,88,83.33333333,83.33333333,increase
VA1280000,Virginia Beach Police Department,Virginia,36.7545,-76.05844,451938,VIRGINIA BEACH,0,1,29,53,82.75862069,82.75862069,increase
TX0572000,Richardson Police Department,Texas,32.766987,-96.778424,122872,RICHARDSON,1,1,23,42,82.60869565,82.60869565,increase
WA0370100,Bellingham Police Department,Washington,48.755722,-122.479614,95279,BELLINGHAM,1,1,11,20,81.81818182,81.81818182,increase
WA0390500,Yakima Police Department,Washington,46.456558,-120.740145,94594,YAKIMA,1,1,65,118,81.53846154,81.53846154,increase
TX0210200,College Station Police Department,Texas,30.656725,-96.302389,122051,COLLEGE STATION,1,1,26,47,80.76923077,80.76923077,increase
NC0010100,Burlington Police Department,North Carolina,36.041974,-79.399935,56065,BURLINGTON,1,1,65,117,80,80,increase
SC0230200,Greenville Police Department,South Carolina,34.852623,-82.38797,73653,GREENVILLE,1,1,65,117,80,80,increase
AR0600200,Little Rock Police Department,Arkansas,34.749084,-92.277565,198260,LITTLE ROCK,1,1,583,1049,79.93138937,79.93138937,increase
WA0171300,Renton Police Department,Washington,47.46636,-122.23833,102458,RENTON,1,1,34,61,79.41176471,79.41176471,increase
KS0460500,Olathe Police Department,Kansas,38.86768,-94.82552,143307,OLATHE,1,1,29,52,79.31034483,79.31034483,increase
VA1030000,Chesapeake Police Department,Virginia,36.71744,-76.24797,249188,CHESAPEAKE,1,1,168,301,79.16666667,79.16666667,increase
LA0400000,Rapides Parish Sheriff's Office,Louisiana,31.193204,-92.535953,62893,ALEXANDRIA,1,1,46,82,78.26086957,78.26086957,increase
TX2120400,Tyler Police Department,Texas,32.3517,-95.30884,109408,TYLER,1,1,87,155,78.16091954,78.16091954,increase
MA0051900,Methuen Police Department,Massachusetts,42.729824,-71.19032,51691,METHUEN,0,0,9,2,-77.77777778,77.77777778,decrease
MI4114100,Kent County Sheriff's Office,Michigan,42.976032,-85.630035,270582,GRAND RAPIDS,1,1,31,55,77.41935484,77.41935484,increase
LA0290000,Lafourche Parish Sheriff's Office,Louisiana,29.491992,-90.394849,78301,THIBODAUX,1,1,44,78,77.27272727,77.27272727,increase
AR0660100,Fort Smith Police Department,Arkansas,35.38317,-94.4234,87912,FORT SMITH,1,1,92,163,77.17391304,77.17391304,increase
VA1140000,Lynchburg Police Department,Virginia,37.399016,-79.195458,82088,LYNCHBURG,1,1,45,79,75.55555556,75.55555556,increase
MN0620000,Ramsey County Sheriff's Office,Minnesota,45.01525,-93.100141,84975,SAINT PAUL,1,1,16,28,75,75,increase
WA0340400,Lacey Police Department,Washington,46.932598,-122.829441,55484,LACEY,0,1,4,7,75,75,increase
WA0390000,Yakima County Sheriff's Office,Washington,46.456558,-120.740145,84839,YAKIMA,0,1,16,28,75,75,increase
MA0092600,Lowell Police Department,Massachusetts,42.64813,-71.31313,112230,LOWELL,0,1,27,47,74.07407407,74.07407407,increase
TN0830400,Hendersonville Police Department,Tennessee,36.473443,-86.459798,60170,HENDERSONVILLE,0,0,27,7,-74.07407407,74.07407407,decrease
NC0780000,Robeson County Sheriff's Office,North Carolina,34.591152,-79.05221,92933,LUMBERTON,1,1,207,360,73.91304348,73.91304348,increase
SC0080000,Berkeley County Sheriff's Office,South Carolina,33.200596,-80.01885,132179,MONCKS CORNER,1,1,69,120,73.91304348,73.91304348,increase
OHCOP0000,Columbus Police Department,Ohio,39.9643,-83.0046,916001,COLUMBUS,1,1,700,1216,73.71428571,73.71428571,increase
MI3913900,Kalamazoo County Sheriff's Office,Michigan,42.277348,-85.54824,111762,KALAMAZOO,1,1,34,59,73.52941176,73.52941176,increase
MI6116100,Muskegon County Sheriff's Office,Michigan,43.235233,-86.24447,58165,MUSKEGON,0,0,7,2,-71.42857143,71.42857143,decrease
WA0060000,Clark County Sheriff's Office,Washington,45.771674,-122.485903,231393,VANCOUVER,1,1,14,24,71.42857143,71.42857143,increase
TN0470100,Knoxville Police Department,Tennessee,35.992726,-83.937721,191463,KNOXVILLE,1,1,245,417,70.20408163,70.20408163,increase
WA0110200,Pasco Police Department,Washington,46.235126,-119.0925,78680,PASCO,1,1,20,34,70,70,increase
WV0020000,Berkeley County Sheriff's Office,West Virginia,39.45025,-77.96581,106788,MARTINSBURG,1,1,10,17,70,70,increase
WIMPD0000,Milwaukee Police Department,Wisconsin,43.04385,-87.90265,593337,MILWAUKEE,1,1,1733,2942,69.76341604,69.76341604,increase
MI3313300,Ingham County Sheriff's Office,Michigan,42.588882,-84.45707,68436,MASON,1,1,13,22,69.23076923,69.23076923,increase
MI6380800,Waterford Township Police Department,Michigan,42.67006,-83.38812,72213,WATERFORD,1,1,13,22,69.23076923,69.23076923,increase
OK0550300,Edmond Police Department,Oklahoma,35.654186,-97.480965,96861,EDMOND,1,1,13,22,69.23076923,69.23076923,increase
TX0140700,Temple Police Department,Texas,31.095078,-97.33949,82333,TEMPLE,1,1,52,88,69.23076923,69.23076923,increase
TX1011500,Pasadena Police Department,Texas,29.690775,-95.19727,149428,PASADENA,1,1,107,181,69.1588785,69.1588785,increase
TXHPD0000,Houston Police Department,Texas,29.75597,-95.36702,2339252,HOUSTON,1,1,3742,6325,69.02725815,69.02725815,increase
WA0321500,Spokane Valley Police Department,Washington,47.620375,-117.403371,104276,SPOKANE VALLEY,1,1,19,32,68.42105263,68.42105263,increase
TX0571800,Mesquite Police Department,Texas,32.766987,-96.778424,137796,MESQUITE,1,1,139,234,68.34532374,68.34532374,increase
NC0260100,Fayetteville Police Department,North Carolina,35.054447,-78.88379,212047,FAYETTEVILLE,1,1,340,571,67.94117647,67.94117647,increase
NC0010000,Alamance County Sheriff's Office,North Carolina,36.041974,-79.399935,66326,GRAHAM,1,1,28,47,67.85714286,67.85714286,increase
OH0570200,Dayton Police Department,Ohio,39.758675,-84.197075,139671,DAYTON,1,1,275,461,67.63636364,67.63636364,increase
TNMPD0000,Memphis Police Department,Tennessee,35.14924,-90.047455,649444,MEMPHIS,1,1,3362,5608,66.80547293,66.80547293,increase
MA0112700,Weymouth Police Department,Massachusetts,42.200764,-70.94817,59242,WEYMOUTH,0,1,3,5,66.66666667,66.66666667,increase
MI4714700,Livingston County Sheriff's Office,Michigan,42.612854,-83.95397,127743,HOWELL,1,1,6,10,66.66666667,66.66666667,increase
MI5015000,Macomb County Sheriff's Office,Michigan,42.615917,-82.886955,198239,MOUNT CLEMENS,1,1,27,45,66.66666667,66.66666667,increase
NB0770100,Bellevue Police Department,Nebraska,41.115064,-96.109125,53436,BELLEVUE,0,0,3,1,-66.66666667,66.66666667,decrease
OH0760000,Stark County Sheriff's Office,Ohio,40.814131,-81.365667,118427,CANTON,1,1,15,25,66.66666667,66.66666667,increase
